Transaction ID,Date,Product,Revenue
1000,2023-01-01,A,248.93
1001,2023-01-02,A,409.28
1002,2023-01-03,C,416.48
1003,2023-01-04,A,266.85
1004,2023-01-05,A,396.16
1005,2023-01-06,C,142.45
1006,2023-01-07,C,493.05
1007,2023-01-08,A,251.53
1008,2023-01-09,A,455.99
1009,2023-01-10,C,459.06
1010,2023-01-11,B,268.69
1011,2023-01-12,B,357.57
1012,2023-01-13,B,240.32
1013,2023-01-14,B,260.79
1014,2023-01-15,C,413.38
1015,2023-01-16,B,378.46
1016,2023-01-17,C,467.11
1017,2023-01-18,A,348.64
1018,2023-01-19,C,290.25
1019,2023-01-20,C,221.96
1020,2023-01-21,A,378.88
1021,2023-01-22,B,326.69
1022,2023-01-23,A,242.38
1023,2023-01-24,C,143.0
1024,2023-01-25,C,415.18
1025,2023-01-26,B,167.58
1026,2023-01-27,A,136.38
1027,2023-01-28,A,211.84
1028,2023-01-29,A,103.94
1029,2023-01-30,C,494.7
1030,2023-01-31,A,234.87
1031,2023-02-01,A,460.62
1032,2023-02-02,B,220.29
1033,2023-02-03,A,445.22
1034,2023-02-04,C,163.45
1035,2023-02-05,B,172.28
1036,2023-02-06,C,453.41
1037,2023-02-07,C,267.54
1038,2023-02-08,B,271.29
1039,2023-02-09,A,329.97
1040,2023-02-10,B,341.89
1041,2023-02-11,C,133.52
1042,2023-02-12,C,222.81
1043,2023-02-13,B,265.48
1044,2023-02-14,C,312.35
1045,2023-02-15,C,158.2
1046,2023-02-16,C,280.66
1047,2023-02-17,A,438.54
1048,2023-02-18,A,410.07
1049,2023-02-19,C,162.49
1050,2023-02-20,C,407.49
1051,2023-02-21,B,432.43
1052,2023-02-22,B,413.87
1053,2023-02-23,B,376.13
1054,2023-02-24,C,497.1
1055,2023-02-25,B,241.75
1056,2023-02-26,C,184.35
1057,2023-02-27,C,440.07
1058,2023-02-28,A,225.31
1059,2023-03-01,A,348.03
1060,2023-03-02,A,243.8
1061,2023-03-03,A,178.65
1062,2023-03-04,B,445.51
1063,2023-03-05,C,492.83
1064,2023-03-06,C,375.29
1065,2023-03-07,B,164.22
1066,2023-03-08,A,189.88
1067,2023-03-09,C,389.53
1068,2023-03-10,B,182.2
1069,2023-03-11,A,345.81
1070,2023-03-12,C,292.79
1071,2023-03-13,B,393.8
1072,2023-03-14,B,377.44
1073,2023-03-15,C,447.23
1074,2023-03-16,B,191.28
1075,2023-03-17,C,498.12
1076,2023-03-18,B,125.24
1077,2023-03-19,B,498.87
1078,2023-03-20,A,153.54
1079,2023-03-21,C,181.13
1080,2023-03-22,B,127.55
1081,2023-03-23,A,423.27
1082,2023-03-24,A,126.26
1083,2023-03-25,A,256.63
1084,2023-03-26,B,313.75
1085,2023-03-27,B,133.22
1086,2023-03-28,A,460.92
1087,2023-03-29,A,238.8
1088,2023-03-30,B,176.2
1089,2023-03-31,B,223.74
1090,2023-04-01,A,340.27
1091,2023-04-02,C,243.95
1092,2023-04-03,B,416.39
1093,2023-04-04,A,272.39
1094,2023-04-05,A,323.52
1095,2023-04-06,B,307.31
1096,2023-04-07,B,454.91
1097,2023-04-08,A,410.28
1098,2023-04-09,B,127.64
1099,2023-04-10,A,486.17
1100,2023-04-11,A,203.0
1101,2023-04-12,B,414.68
1102,2023-04-13,B,350.96
1103,2023-04-14,C,469.59
1104,2023-04-15,A,346.62
1105,2023-04-16,C,355.6
1106,2023-04-17,A,323.32
1107,2023-04-18,B,136.53
1108,2023-04-19,B,292.3
1109,2023-04-20,A,262.6
1110,2023-04-21,B,314.76
1111,2023-04-22,B,339.4
1112,2023-04-23,A,180.99
1113,2023-04-24,B,394.62
1114,2023-04-25,B,422.92
1115,2023-04-26,C,406.99
1116,2023-04-27,C,491.86
1117,2023-04-28,B,345.25
1118,2023-04-29,A,218.12
1119,2023-04-30,A,424.5
